"","Week.starting","Language","Country.code","Tweets","group"
"199",2019-07-14,"en","NGA",11,"1"
"200",2019-07-14,"en","NIC",3,"1"
"201",2019-07-14,"en","NLD",5,"1"
"202",2019-07-14,"en","NOR",10,"1"
"203",2019-07-14,"en","NPL",1,"1"
"204",2019-07-14,"en","NZL",3,"1"
"205",2019-07-14,"en","OMN",4,"1"
"206",2019-07-14,"en","PAK",11,"1"
"207",2019-07-14,"en","PAN",1,"1"
"208",2019-07-14,"en","PHL",12,"1"
"209",2019-07-14,"en","PRT",5,"1"
"210",2019-07-14,"en","PSE",1,"1"
"211",2019-07-14,"en","QAT",5,"1"
"212",2019-07-14,"en","ROU",1,"1"
"213",2019-07-14,"en","RUS",1,"1"
"214",2019-07-14,"en","SDN",2,"1"
"215",2019-07-14,"en","SGP",1,"1"
"216",2019-07-14,"en","SLE",1,"1"
"217",2019-07-14,"en","SOM",4,"1"
"218",2019-07-14,"en","SVK",1,"1"
"219",2019-07-14,"en","SVN",1,"1"
"220",2019-07-14,"en","SWE",7,"1"
"221",2019-07-14,"en","SYR",1,"1"
"222",2019-07-14,"en","TUN",1,"1"
"223",2019-07-14,"en","TUR",12,"1"
"224",2019-07-14,"en","TWN",1,"1"
"225",2019-07-14,"en","UGA",4,"1"
"226",2019-07-14,"en","UKR",1,"1"
"227",2019-07-14,"en","USA",3194,"1"
"228",2019-07-14,"en","ZAF",6,"1"
"229",2019-07-14,"en","ZMB",3,"1"
"230",2019-07-14,"en","ZWE",9,"1"
"232",2019-07-14,"fr","FIN",1,"1"
"233",2019-07-14,"fr","FRA",3,"1"
"234",2019-07-14,"fr","TGO",1,"1"
"236",2019-07-21,"ar","AFG",2,"1"
"237",2019-07-21,"ar","ARE",39,"1"
"238",2019-07-21,"ar","AUS",5,"1"
"239",2019-07-21,"ar","BEL",3,"1"
"240",2019-07-21,"ar","BGD",1,"1"
"241",2019-07-21,"ar","BHR",10,"1"
"242",2019-07-21,"ar","BRA",1,"1"
"243",2019-07-21,"ar","CAN",6,"1"
"244",2019-07-21,"ar","CHE",18,"1"
"245",2019-07-21,"ar","CHN",5,"1"
"246",2019-07-21,"ar","CIV",1,"1"
"247",2019-07-21,"ar","DEU",12,"1"
"248",2019-07-21,"ar","DZA",15,"1"
"249",2019-07-21,"ar","EGY",220,"1"
"250",2019-07-21,"ar","ESP",3,"1"
"251",2019-07-21,"ar","FIN",25,"1"
"252",2019-07-21,"ar","FRA",10,"1"
"253",2019-07-21,"ar","GBR",38,"1"
"254",2019-07-21,"ar","GRC",1,"1"
"255",2019-07-21,"ar","HUN",1,"1"
"256",2019-07-21,"ar","IDN",2,"1"
"257",2019-07-21,"ar","IND",1,"1"
"258",2019-07-21,"ar","IRN",22,"1"
"259",2019-07-21,"ar","IRQ",49,"1"
"260",2019-07-21,"ar","ISR",1,"1"
"261",2019-07-21,"ar","ITA",3,"1"
"262",2019-07-21,"ar","JOR",23,"1"
"263",2019-07-21,"ar","KOR",1,"1"
"264",2019-07-21,"ar","KWT",73,"1"
"265",2019-07-21,"ar","LBN",12,"1"
"266",2019-07-21,"ar","LBY",32,"1"
"267",2019-07-21,"ar","MAR",11,"1"
"268",2019-07-21,"ar","MLT",1,"1"
"269",2019-07-21,"ar","MRT",3,"1"
"270",2019-07-21,"ar","MTQ",1,"1"
"271",2019-07-21,"ar","MYS",1,"1"
"272",2019-07-21,"ar","NLD",1,"1"
"273",2019-07-21,"ar","OMN",87,"1"
"274",2019-07-21,"ar","PAK",2,"1"
"275",2019-07-21,"ar","PER",1,"1"
"276",2019-07-21,"ar","PRI",1,"1"
"277",2019-07-21,"ar","PSE",29,"1"
"278",2019-07-21,"ar","QAT",25,"1"
"279",2019-07-21,"ar","RUS",3,"1"
"280",2019-07-21,"ar","SAU",385,"1"
"281",2019-07-21,"ar","SDN",9,"1"
"282",2019-07-21,"ar","SOM",1,"1"
"283",2019-07-21,"ar","SWE",1,"1"
"284",2019-07-21,"ar","SYR",544,"1"
"285",2019-07-21,"ar","TUN",6,"1"
"286",2019-07-21,"ar","TUR",17,"1"
"287",2019-07-21,"ar","UGA",1,"1"
"288",2019-07-21,"ar","USA",62,"1"
"289",2019-07-21,"ar","VEN",1,"1"
"290",2019-07-21,"ar","YEM",104,"1"
"292",2019-07-21,"en","AFG",13,"1"
"293",2019-07-21,"en","AUS",4,"1"
"294",2019-07-21,"en","BEL",2,"1"
"295",2019-07-21,"en","BGD",2,"1"
"296",2019-07-21,"en","BGR",1,"1"
"297",2019-07-21,"en","BRA",2,"1"
"298",2019-07-21,"en","CAF",1,"1"
"299",2019-07-21,"en","CAN",22,"1"
"300",2019-07-21,"en","CHE",1,"1"
"301",2019-07-21,"en","CHN",4,"1"
"302",2019-07-21,"en","COL",2,"1"
"303",2019-07-21,"en","CZE",1,"1"
"304",2019-07-21,"en","DEU",8,"1"
"305",2019-07-21,"en","EGY",1,"1"
"306",2019-07-21,"en","ESP",1,"1"
"307",2019-07-21,"en","EST",1,"1"
"308",2019-07-21,"en","ETH",3,"1"
"309",2019-07-21,"en","FIN",7,"1"
"310",2019-07-21,"en","FJI",1,"1"
"311",2019-07-21,"en","FRA",1,"1"
"312",2019-07-21,"en","GBR",23,"1"
"313",2019-07-21,"en","GHA",5,"1"
"314",2019-07-21,"en","GRC",1,"1"
"315",2019-07-21,"en","HTI",1,"1"
"316",2019-07-21,"en","IDN",2,"1"
"317",2019-07-21,"en","IND",5,"1"
"318",2019-07-21,"en","IRL",2,"1"
"319",2019-07-21,"en","IRN",3,"1"
"320",2019-07-21,"en","IRQ",2,"1"
"321",2019-07-21,"en","ITA",3,"1"
"322",2019-07-21,"en","JAM",1,"1"
"323",2019-07-21,"en","JOR",1,"1"
"324",2019-07-21,"en","KEN",5,"1"
"325",2019-07-21,"en","KWT",1,"1"
"326",2019-07-21,"en","LBR",2,"1"
"327",2019-07-21,"en","LBY",1,"1"
"328",2019-07-21,"en","LKA",1,"1"
"329",2019-07-21,"en","LUX",3,"1"
"330",2019-07-21,"en","MAR",1,"1"
"331",2019-07-21,"en","MEX",2,"1"
"332",2019-07-21,"en","MOZ",3,"1"
"333",2019-07-21,"en","MYS",1,"1"
"334",2019-07-21,"en","NGA",3,"1"
"335",2019-07-21,"en","NLD",1,"1"
"336",2019-07-21,"en","NOR",2,"1"
"337",2019-07-21,"en","NPL",1,"1"
"338",2019-07-21,"en","PAK",1,"1"
"339",2019-07-21,"en","PAN",1,"1"
"340",2019-07-21,"en","PER",1,"1"
"341",2019-07-21,"en","PHL",4,"1"
"342",2019-07-21,"en","POL",1,"1"
"343",2019-07-21,"en","PRT",1,"1"
"344",2019-07-21,"en","QAT",2,"1"
"345",2019-07-21,"en","RUS",2,"1"
"346",2019-07-21,"en","SOM",3,"1"
"347",2019-07-21,"en","SWE",2,"1"
"348",2019-07-21,"en","SYR",4,"1"
"349",2019-07-21,"en","THA",1,"1"
"350",2019-07-21,"en","TWN",1,"1"
"351",2019-07-21,"en","UGA",2,"1"
"352",2019-07-21,"en","UKR",1,"1"
"353",2019-07-21,"en","USA",1381,"1"
"354",2019-07-21,"en","VNM",1,"1"
"355",2019-07-21,"en","YEM",2,"1"
"356",2019-07-21,"en","ZAF",1,"1"
"357",2019-07-21,"en","ZMB",2,"1"
