Week starting,Language,Country code,Tweets
#date+week_start,#meta+lang,#country+code+v_iso2,#indicator+tweets
30/06/2019,en,PRT,5
30/06/2019,en,PRY,1
30/06/2019,en,PSE,2
30/06/2019,en,ROU,1
30/06/2019,en,RUS,1
30/06/2019,en,SAU,1
30/06/2019,en,SEN,1
30/06/2019,en,SLB,1
30/06/2019,en,SOM,3
30/06/2019,en,SVN,2
30/06/2019,en,SWE,1
30/06/2019,en,TUR,7
30/06/2019,en,UGA,10
30/06/2019,en,USA,3207
30/06/2019,en,VNM,1
30/06/2019,en,ZAF,4
30/06/2019,en,ZMB,3
30/06/2019,en,ZWE,2
30/06/2019,fr,SVN,1
30/06/2019,fr,TUR,1
7/07/2019,ar,,83
7/07/2019,ar,ARE,1
7/07/2019,ar,CHE,1
7/07/2019,ar,DEU,2
7/07/2019,ar,DZA,2
7/07/2019,ar,EGY,5
7/07/2019,ar,GBR,1
7/07/2019,ar,IRQ,2
7/07/2019,ar,KWT,6
7/07/2019,ar,LBN,2
7/07/2019,ar,PAK,2
7/07/2019,ar,PSE,2
7/07/2019,ar,SAU,25
7/07/2019,ar,SDN,2
7/07/2019,ar,SYR,3
7/07/2019,ar,TUR,2
7/07/2019,ar,USA,2
7/07/2019,ar,YEM,13
7/07/2019,en,,512
7/07/2019,en,AFG,17
7/07/2019,en,ALB,1
7/07/2019,en,ARG,2
7/07/2019,en,AUT,2
7/07/2019,en,BEL,2
7/07/2019,en,BHR,3
7/07/2019,en,BMU,1
7/07/2019,en,CAN,20
7/07/2019,en,CHE,1
7/07/2019,en,CHN,2
7/07/2019,en,COL,1
7/07/2019,en,CYP,3
7/07/2019,en,DEU,5
7/07/2019,en,DNK,2
7/07/2019,en,ECU,1
7/07/2019,en,ESP,6
7/07/2019,en,ETH,1
7/07/2019,en,FIN,1
7/07/2019,en,FJI,1
7/07/2019,en,FRA,5
7/07/2019,en,GBR,40
7/07/2019,en,GHA,5
7/07/2019,en,GRC,4
7/07/2019,en,GUY,1
7/07/2019,en,HND,2
7/07/2019,en,IDN,5
7/07/2019,en,IND,9
7/07/2019,en,IRN,3
7/07/2019,en,IRQ,1
7/07/2019,en,ISL,1
7/07/2019,en,ISR,1
7/07/2019,en,ITA,8
7/07/2019,en,JPN,5
7/07/2019,en,KEN,6
7/07/2019,en,KHM,1
7/07/2019,en,KOR,1
7/07/2019,en,LKA,7
7/07/2019,en,MLI,1
7/07/2019,en,MLT,1
7/07/2019,en,MNG,1
7/07/2019,en,MYS,1
7/07/2019,en,NAM,1
7/07/2019,en,NGA,66
7/07/2019,en,NLD,3
7/07/2019,en,NOR,1
7/07/2019,en,NPL,2
7/07/2019,en,NZL,1
7/07/2019,en,OMN,1
7/07/2019,en,PAK,15
7/07/2019,en,PER,1
7/07/2019,en,PHL,4
7/07/2019,en,PRT,1
7/07/2019,en,RUS,2
7/07/2019,en,SAU,2
7/07/2019,en,SVN,1
7/07/2019,en,SWE,2
7/07/2019,en,TUR,3
7/07/2019,en,UGA,1
7/07/2019,en,UKR,1
7/07/2019,en,URY,1
7/07/2019,en,USA,1981
7/07/2019,en,VEN,1
7/07/2019,en,ZMB,1
7/07/2019,fr,,4
7/07/2019,fr,FIN,1
7/07/2019,fr,FRA,7
7/07/2019,fr,USA,2
14/07/2019,ar,,1973
14/07/2019,ar,AFG,3
14/07/2019,ar,ARE,40
14/07/2019,ar,ARG,1
14/07/2019,ar,AUS,2
14/07/2019,ar,AUT,1
14/07/2019,ar,BEL,1
14/07/2019,ar,BHR,5
14/07/2019,ar,BIH,1
14/07/2019,ar,BRA,1
14/07/2019,ar,CAN,6
14/07/2019,ar,CHE,5
14/07/2019,ar,CHN,2
14/07/2019,ar,CMR,2
14/07/2019,ar,DEU,9
14/07/2019,ar,DZA,11
14/07/2019,ar,ECU,1
14/07/2019,ar,EGY,149
14/07/2019,ar,ESP,2
14/07/2019,ar,FIN,36
14/07/2019,ar,FRA,12
14/07/2019,ar,GBR,25
14/07/2019,ar,HRV,2
14/07/2019,ar,HUN,1
14/07/2019,ar,IDN,1
14/07/2019,ar,IND,2
14/07/2019,ar,IRN,12
14/07/2019,ar,IRQ,34
14/07/2019,ar,ISL,1
